Backbone,Dataset,Method A,Method A role,Method B,Method B role,Fixes,Losses,Net fixes,Exact McNemar p,Accuracy/M-AVG delta,Video-cluster CI low,Video-cluster CI high,MLVU statistical unit note
InternVL3-8B,LongVideoBench,E48,baseline,Full,evaluated_method,21,28,-7,0.3916029105474905,-0.5235602094240761,-1.5624999999999931,0.5102133851352333,Delta and pairs=question accuracy
InternVL3-8B,MLVU-Dev M-AVG,Core32,baseline,E40,evaluated_method,52,45,7,0.5426101580458746,0.24748315635035567,-0.81688060852935,1.2868211804794445,Delta=M-AVG; fixes/losses/McNemar=question level
InternVL3-8B,MLVU-Dev M-AVG,Core32,baseline,E48,evaluated_method,74,59,15,0.22462992985836266,0.7468573798948626,-0.43274626219119056,1.9567616175700202,Delta=M-AVG; fixes/losses/McNemar=question level
InternVL3-8B,MLVU-Dev M-AVG,Core32,baseline,Full,evaluated_method,41,28,13,0.14803218069275836,0.602900466199884,-0.29332199484779725,1.5120511147401827,Delta=M-AVG; fixes/losses/McNemar=question level
InternVL3-8B,MLVU-Dev M-AVG,E40,baseline,Full,evaluated_method,28,22,6,0.47988766169832786,0.35541730984952835,-0.37024508065986056,1.0925266850820454,Delta=M-AVG; fixes/losses/McNemar=question level
InternVL3-8B,MLVU-Dev M-AVG,E48,baseline,Full,evaluated_method,38,40,-2,0.9099464518745243,-0.14395691369497854,-1.0285456770449293,0.7240540901383908,Delta=M-AVG; fixes/losses/McNemar=question level
mPLUG-Owl3-7B,VideoMME,Core32,baseline,E40,evaluated_method,118,95,23,0.13151225170378478,0.8518518518518476,-0.18518518518519045,1.8888888888888928,Delta and pairs=question accuracy
mPLUG-Owl3-7B,VideoMME,Core32,baseline,E48,evaluated_method,144,101,43,0.007166671227678859,1.5925925925925881,0.44444444444444287,2.7037037037037024,Delta and pairs=question accuracy
mPLUG-Owl3-7B,VideoMME,Core32,baseline,Full,evaluated_method,86,67,19,0.14536554974727253,0.7037037037036953,-0.18518518518518334,1.5925925925925881,Delta and pairs=question accuracy
mPLUG-Owl3-7B,VideoMME,E40,baseline,Full,evaluated_method,42,46,-4,0.7493290032022806,-0.14814814814815236,-0.8518518518518476,0.518518518518519,Delta and pairs=question accuracy
mPLUG-Owl3-7B,VideoMME,E48,baseline,Full,evaluated_method,45,69,-24,0.03077632385440321,-0.8888888888888928,-1.6666666666666714,-0.11111111111110716,Delta and pairs=question accuracy
mPLUG-Owl3-7B,LongVideoBench,Core32,baseline,E40,evaluated_method,37,26,11,0.20736789985685422,0.8227374719521308,-0.30282390011938937,2.031602708803611,Delta and pairs=question accuracy
mPLUG-Owl3-7B,LongVideoBench,Core32,baseline,E48,evaluated_method,42,35,7,0.49438227369550003,0.5235602094240903,-0.7375313599234912,1.8264840182648427,Delta and pairs=question accuracy
mPLUG-Owl3-7B,LongVideoBench,Core32,baseline,Full,evaluated_method,24,17,7,0.34888887944907765,0.5235602094240903,-0.4470938897168395,1.5003750937734424,Delta and pairs=question accuracy
mPLUG-Owl3-7B,LongVideoBench,E40,baseline,Full,evaluated_method,16,20,-4,0.617719317029696,-0.29917726252804044,-1.1817057340709005,0.5939123979213008,Delta and pairs=question accuracy
mPLUG-Owl3-7B,LongVideoBench,E48,baseline,Full,evaluated_method,20,20,0,1.0,0.0,-0.9188361408882033,0.9084371604896404,Delta and pairs=question accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,baseline,E40,evaluated_method,84,74,10,0.47410617678563144,0.7459645567857791,-0.4930225378528359,1.9950583694486994,Delta=M-AVG; fixes/losses/McNemar=question level
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,baseline,E48,evaluated_method,104,93,11,0.4762667150679856,0.6771793283924126,-0.7058255596755216,2.070002838393226,Delta=M-AVG; fixes/losses/McNemar=question level
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,baseline,Full,evaluated_method,67,47,20,0.07469253007976608,1.0637604835374646,0.031136578717500335,2.1423805050553684,Delta=M-AVG; fixes/losses/McNemar=question level
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,baseline,Full,evaluated_method,35,25,10,0.2450608330229457,0.31779592675168544,-0.39499418690286064,1.0175369978401283,Delta=M-AVG; fixes/losses/McNemar=question level
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,baseline,Full,evaluated_method,52,43,9,0.41191007368097654,0.386581155145052,-0.5901052007160883,1.349119858999114,Delta=M-AVG; fixes/losses/McNemar=question level
LLaVA-Video-7B,VideoMME,Core32,baseline,E40,evaluated_method,86,75,11,0.4307246551015169,0.4074074074074119,-0.518518518518519,1.3333333333333357,Delta and pairs=question accuracy
LLaVA-Video-7B,VideoMME,Core32,baseline,E48,evaluated_method,118,69,49,0.0004183178608866334,1.8148148148148238,0.8518518518518476,2.8518518518518476,Delta and pairs=question accuracy
LLaVA-Video-7B,VideoMME,Core32,baseline,Full,evaluated_method,73,35,38,0.0003258385611274805,1.4074074074074119,0.6666666666666714,2.1851851851851833,Delta and pairs=question accuracy
LLaVA-Video-7B,VideoMME,E40,baseline,Full,evaluated_method,54,27,27,0.0035963477188240634,1.0,0.3333333333333286,1.6666666666666643,Delta and pairs=question accuracy
LLaVA-Video-7B,VideoMME,E48,baseline,Full,evaluated_method,45,56,-11,0.3197273207002655,-0.4074074074074119,-1.1111111111111143,0.3333333333333286,Delta and pairs=question accuracy
LLaVA-Video-7B,LongVideoBench,Core32,baseline,E40,evaluated_method,41,26,15,0.08643723427347086,1.1219147344801925,0.0,2.284460816695581,Delta and pairs=question accuracy
LLaVA-Video-7B,LongVideoBench,Core32,baseline,E48,evaluated_method,45,45,0,1.0,0.0,-1.3729977116704788,1.3544018058690739,Delta and pairs=question accuracy
LLaVA-Video-7B,LongVideoBench,Core32,baseline,Full,evaluated_method,27,21,6,0.4708790136217118,0.44876589379208554,-0.5299116257197273,1.4448724147783496,Delta and pairs=question accuracy
LLaVA-Video-7B,LongVideoBench,E40,baseline,Full,evaluated_method,9,18,-9,0.12207812070846558,-0.673148840688107,-1.441578148710171,0.07496251874062665,Delta and pairs=question accuracy
LLaVA-Video-7B,LongVideoBench,E48,baseline,Full,evaluated_method,28,22,6,0.47988766169832786,0.44876589379208554,-0.5818499867479495,1.4947962609550192,Delta and pairs=question accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,baseline,E40,evaluated_method,55,49,6,0.624143515844679,0.4870787897097415,-0.548030928575886,1.5421366408688948,Delta=M-AVG; fixes/losses/McNemar=question level
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,baseline,E48,evaluated_method,67,70,-3,0.8644049750099483,-0.09255828380425157,-1.2660377081526186,1.1016763398162868,Delta=M-AVG; fixes/losses/McNemar=question level
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,baseline,Full,evaluated_method,44,33,11,0.25430466614770003,0.7700055614818666,-0.1444799248417823,1.6528539356955474,Delta=M-AVG; fixes/losses/McNemar=question level
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,baseline,Full,evaluated_method,26,21,5,0.5600646295802107,0.2829267717721251,-0.3564415586225671,0.9524657766838182,Delta=M-AVG; fixes/losses/McNemar=question level
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,baseline,Full,evaluated_method,46,32,14,0.14053828626952244,0.8625638452861182,-0.029210213718085496,1.7632716219489286,Delta=M-AVG; fixes/losses/McNemar=question level
